workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,error
135,experiment,,,,,5d184b040a274600013f7107,0,1,,,,
135,experiment,,,,Jennifer,Jennifer,0,2,,,bot_check,
135,experiment,distress,Dylan argued with his parents,stim,,no,5592,9,F,Michelle,Is Melissa distressed that Dylan argued with his parents?,
135,experiment,excite,Cole celebrated his friend's birthday,stim,,yes,4815,10,M,Thomas,Is Brenda excited that Cole celebrated his friend's birthday?,
135,experiment,gossip,Molly attended a conference last week,stim,,no,4706,11,M,Mark,Did Dennis gossip that Molly attended a conference last week?,
135,experiment,insult,Natasha got a promotion,stim,,no,4175,12,M,William,Is Andrew insulted that Natasha got a promotion?,
135,experiment,embarrass,Josh learned to ride a bike yesterday,stim,,no,6067,13,F,Kimberly,Is Amy embarrassed that Josh learned to ride a bike yesterday?,
135,experiment,shock,Danny ate the last cupcake,stim,,no,6935,14,M,Matthew,Is Sharon shocked that Danny ate the last cupcake?,
135,experiment,ignore,Emily bought a car yesterday,stim,,yes,8731,15,F,Ashley,Did Colby ignore that Emily bought a car yesterday?,
135,experiment,bet,Julian cleaned his room,stim,,no,7265,16,F,Lisa,Did Rebecca bet that Julian cleaned his room?,
135,experiment,promise,Louis went swimming,stim,,no,5288,17,F,Linda,Did Nicole promise that Louis went swimming?,
135,experiment,,Madison had a baby,control,,no,4262,18,F,Jessica,Did Madison have a baby?,
135,experiment,suppose,Courtney woke up early yesterday,stim,,no,7579,19,F,Elizabeth,Did Ben suppose that Courtney woke up early yesterday?,
135,experiment,aggravate,Hannah called her parents,stim,,no,7027,20,M,Steven,Is Patrick aggravated that Hannah called her parents?,
135,experiment,trouble,Sophia got a tattoo,stim,,yes,5065,21,M,James,Is Eli troubled that Sophia got a tattoo?,
135,experiment,squeal,Emma studied on Saturday morning,stim,,no,8377,22,F,Dorothy,Did Bobby squeal that Emma studied on Saturday morning?,
135,experiment,fantasize,Mia drank 2 cocktails last night,stim,,no,9992,23,F,Jennifer,Did Justin fantasize that Mia drank 2 cocktails last night?,
135,experiment,,Todd played football in high school,control,,no,4945,24,F,Margaret,Did Todd play football in high school?,
135,experiment,,Mary's aunt is sick,control,,no,5235,25,F,Karen,Is Mary's aunt sick?,
135,experiment,charm,Olivia left her job,stim,,yes,6008,26,F,Nancy,Is Ray charmed that Olivia left her job?,
135,experiment,,Zack is coming to the meeting tomorrow,control,,no,6779,27,F,Donna,Is Zack coming to the meeting tomorrow?,
135,experiment,testify,Emilia looked after the kids,stim,,no,7814,28,F,Helen,Did Kevin testify that Emilia looked after the kids?,
135,experiment,irritate,Isabella ate a steak on Sunday,stim,,yes,9445,29,M,Richard,Is Tim irritated that Isabella ate a steak on Sunday?,
135,experiment,envision,Charley spilled the wine,stim,,yes,8816,30,M,Robert,Did Ruth envision that Charley spilled the wine?,
135,experiment,require,Audrey went to a party,stim,,yes,7099,31,M,David,Did Alan require that Audrey went to a party?,
135,experiment,,Hendrick's car was expensive,control,,no,5301,32,M,Christopher,Was Hendrick's car expensive?,
135,experiment,dictate,Lucas bought new shoes,stim,,no,8375,33,M,George,Did Anna dictate that Lucas bought new shoes?,
135,experiment,enjoy,Jackson ran 10 miles,stim,,yes,6616,34,F,Carol,Did Stephanie enjoy that Jackson ran 10 miles?,
135,experiment,,Vanessa is good at math,control,,no,5377,35,M,Logan,Is Vanessa good at math?,
135,experiment,argue,Jayden rented a car,stim,,yes,7152,36,F,Sandra,Did Heather argue that Jayden rented a car?,
135,experiment,thrill,Danielle painted her room,stim,,yes,5055,37,F,Susan,Is Scott thrilled that Danielle painted her room?,
135,experiment,write,Owen shoveled snow last winter,stim,,no,6330,38,M,Kenneth,Did Kathleen write that Owen shoveled snow last winter?,
135,experiment,retract,Allen went to the museum,stim,,no,8202,39,M,Paul,Did Laura retract that Allen went to the museum?,
135,experiment,expose,Connor fell from a tree,stim,,yes,7577,40,F,Betty,Did Shirley expose that Connor fell from a tree?,
135,experiment,surprise,Jon went out for dinner,stim,,yes,8511,41,F,Sarah,Is Catherine surprised that Jon went out for dinner?,
70,experiment,,,,,5c4689c8b05faa0001d63608,0,1,,,,
70,experiment,,,,Barbara,Barbara,0,2,,,bot_check,
70,experiment,scream,Emilia looked after the kids,stim,,no,4580,9,M,James,Did Bobby scream that Emilia looked after the kids?,
70,experiment,bet,Mary planted a tree,stim,,no,3437,10,F,Karen,Did Dennis bet that Mary planted a tree?,
70,experiment,elaborate,Fred missed the train,stim,,yes,3302,11,F,Jessica,Did Cynthia elaborate that Fred missed the train?,
70,experiment,pray,Emma studied on Saturday morning,stim,,no,3408,12,F,Betty,Did Jerry pray that Emma studied on Saturday morning?,
70,experiment,shout,Natasha got a promotion,stim,,yes,5193,13,F,Dorothy,Did Francisco shout that Natasha got a promotion?,
70,experiment,amuse,Jason made a cake,stim,,yes,2310,14,F,Carol,Is Catherine amused that Jason made a cake?,
70,experiment,,Hendrick's car was expensive,control,,no,2056,15,F,Elizabeth,Was Hendrick's car expensive?,
70,experiment,tweet,Josie went on vacation to France,stim,,no,2511,16,M,Richard,Did Alan tweet that Josie went on vacation to France?,
70,experiment,express,Cole celebrated his friend's birthday,stim,,no,3385,17,F,Jennifer,Did Anna express that Cole celebrated his friend's birthday?,
70,experiment,disgust,Olivia left her job,stim,,yes,1639,18,F,Donna,Is Scott disgusted that Olivia left her job?,
70,experiment,aggravate,Frank got a cat,stim,,yes,1740,19,F,Helen,Is Rebecca aggravated that Frank got a cat?,
70,experiment,whine,Valerie booked the venue,stim,,yes,2722,20,F,Susan,Did Colby whine that Valerie booked the venue?,
70,experiment,testify,Allen went to the museum,stim,,no,2931,21,M,William,Did Melissa testify that Allen went to the museum?,
70,experiment,facinate,Molly attended a conference last week,stim,,yes,2573,22,M,David,Is Brian fascinated that Molly attended a conference last week?,
70,experiment,,Mary's aunt is sick,control,,no,1728,23,F,Margaret,Is Mary's aunt sick?,
70,experiment,love,Danny ate the last cupcake,stim,,yes,1703,24,M,Thomas,Did Sharon love that Danny ate the last cupcake?,
70,experiment,feel,Connor fell from a tree,stim,,no,2129,25,M,Kenneth,Did Regina feel that Connor fell from a tree?,
70,experiment,shock,Lucas bought new shoes,stim,,yes,1306,26,F,Sandra,Is Heather shocked that Lucas bought new shoes?,
70,experiment,thrill,Julian cleaned his room,stim,,yes,1580,27,M,George,Is Nicole thrilled that Julian cleaned his room?,
70,experiment,simulate,Owen shoveled snow last winter,stim,,no,3125,28,M,Mark,Did Laura simulate that Owen shoveled snow last winter?,
