workerid,utterance,Answer.time_in_minutes,content,rt,speakerName,object,exp,verb,response,slide_number_in_experiment,speakerGender
0,bot_check,8.8676,,0,,Barbara,,,Barbara,1,
0,Is Ray amused that Danielle painted her room?,8.8676,Danielle painted her room,18574,Christopher,,stim,amused,0.73,3,M
0,Did Justin expose that Emma studied on Saturday morning?,8.8676,Emma studied on Saturday morning,2829,Richard,,stim,expose,0.6,4,M
0,Is Eli irritated that Mia drank 2 cocktails last night?,8.8676,Mia drank 2 cocktails last night,1559,Carol,,stim,irritated,0.44,5,F
0,Did Catherine bet that Tony had a drink last night?,8.8676,Tony had a drink last night,2289,George,,stim,bet,0.6,6,M
0,Did Tim enjoy that Olivia left her job?,8.8676,Olivia left her job,2211,Steven,,stim,enjoy,0.38,7,M
0,Is Patrick aggravated that Molly attended a conference last week?,8.8676,Molly attended a conference last week,3800,Mark,,stim,aggravated,0.64,8,M
0,Did Stephanie love that Lucas bought new shoes?,8.8676,Lucas bought new shoes,2259,Jessica,,stim,love,0.45,9,F
0,Did Brian compute that Courtney woke up early yesterday?,8.8676,Courtney woke up early yesterday,2458,Karen,,stim,compute,0.61,10,F
0,Did Amy retract that Allen went to the museum?,8.8676,Allen went to the museum,3510,Elizabeth,,stim,retract,0.48,11,F
0,Did Anna gossip that Cole celebrated his friend's birthday?,8.8676,Cole celebrated his friend's birthday,2570,Robert,,stim,gossip,0.58,12,M
0,Is Vanessa good at math?,8.8676,Vanessa is good at math,2060,David,,control,control,0.46,13,M
0,Did Dennis write that Mary planted a tree?,8.8676,Mary planted a tree,1709,Ashley,,stim,write,0.63,14,F
0,Did Brenda ignore that Jackson ran 10 miles?,8.8676,Jackson ran 10 miles,7369,Jennifer,,stim,ignore,0.32,15,F
0,Is Rebecca insulted that Louis went swimming?,8.8676,Louis went swimming,2340,Donna,,stim,insulted,0.55,16,F
0,Is Ben thrilled that Emily bought a car yesterday?,8.8676,Emily bought a car yesterday,2101,Sarah,,stim,thrilled,0.4,17,F
0,Did Regina require that Dylan argued with his parents?,8.8676,Dylan argued with his parents,3128,Lisa,,stim,require,0.63,18,F
0,Is Kaitlin embarrassed that Jason made a cake?,8.8676,Jason made a cake,2645,Sandra,,stim,embarrassed,0.41,19,F
0,Is Zack coming to the meeting tomorrow?,8.8676,Zack is coming to the meeting tomorrow,2153,Ashley,,control,control,0.58,20,F
0,Did Colby express that Hannah called her parents?,8.8676,Hannah called her parents,2109,Kenneth,,stim,express,0.46,21,M
0,Is Mary's aunt sick?,8.8676,Mary's aunt is sick,1949,Linda,,control,control,0.69,22,F
0,Was Hendrick's car expensive?,8.8676,Hendrick's car was expensive,2080,Thomas,,control,control,0.46,23,M
0,Is Cynthia alarmed that Josh learned to ride a bike yesterday?,8.8676,Josh learned to ride a bike yesterday,2359,Linda,,stim,alarmed,0.61,24,F
0,Is Bobby promised that Emilia looked after the kids?,8.8676,Emilia looked after the kids,1849,Susan,,stim,promised,0.45,25,F
0,Did Madison have a baby?,8.8676,Madison had a baby,3451,Elizabeth,,control,control,0.62,26,F
0,Did Kathleen argue that Julian cleaned his room?,8.8676,Julian cleaned his room,2748,David,,stim,argue,0.47,27,M
0,Did Todd play football in high school?,8.8676,Todd played football in high school,1929,Sarah,,control,control,0.67,28,F
0,Did Shirley pray that Jon went out for dinner?,8.8676,Jon went out for dinner,2620,Margaret,,stim,pray,0.44,29,F
0,Did Laura celebrate that Connor fell from a tree?,8.8676,Connor fell from a tree,4630,James,,stim,celebrate,0.56,30,M
0,Did Nicole resent that Jayden rented a car?,8.8676,Jayden rented a car,2680,Dorothy,,stim,resent,0.48,31,F
0,Did Melissa tweet that Frank got a cat?,8.8676,Frank got a cat,2550,Matthew,,stim,tweet,0.58,32,M
0,Is Francisco troubled that Audrey went to a party?,8.8676,Audrey went to a party,2100,Betty,,stim,troubled,0.47,33,F
0,Is Manuel shocked that Isabella ate a steak on Sunday?,8.8676,Isabella ate a steak on Sunday,2521,William,,stim,shocked,0.64,34,M
0,Is Noah fascinated that Grace visited her sister?,8.8676,Grace visited her sister,2808,Thomas,,stim,fascinated,0.52,35,M
1,bot_check,10.737016666666667,,0,,Susan,,,susan,1,
1,Is Vanessa good at math?,10.737016666666667,Vanessa is good at math,14195,Helen,,control,control,0.71,3,F
1,Did Heather celebrate that Josh learned to ride a bike yesterday?,10.737016666666667,Josh learned to ride a bike yesterday,3149,Betty,,stim,celebrate,0.79,4,F
1,Did Justin scream that Molly attended a conference last week?,10.737016666666667,Molly attended a conference last week,2800,Mark,,stim,scream,0.33,5,M
1,Did Manuel weep that Emily bought a car yesterday?,10.737016666666667,Emily bought a car yesterday,5995,Karen,,stim,weep,0.76,6,F
1,Did Kathleen enjoy that Owen shoveled snow last winter?,10.737016666666667,Owen shoveled snow last winter,3294,Jessica,,stim,enjoy,0.7,7,F
1,Is Anna embarrassed that Jason made a cake?,10.737016666666667,Jason made a cake,3630,Kenneth,,stim,embarrassed,0.7,8,M
1,Did Colby elaborate that Natasha got a promotion?,10.737016666666667,Natasha got a promotion,4430,Sandra,,stim,elaborate,0.63,9,F
1,Is Scott thrilled that Mia drank 2 cocktails last night?,10.737016666666667,Mia drank 2 cocktails last night,4540,Lisa,,stim,thrilled,0.37,10,F
1,Is Tim pained that Courtney woke up early yesterday?,10.737016666666667,Courtney woke up early yesterday,3109,Elizabeth,,stim,pained,0.75,11,F
1,Was Hendrick's car expensive?,10.737016666666667,Hendrick's car was expensive,2840,Elizabeth,,control,control,0.74,12,F
1,Did Todd play football in high school?,10.737016666666667,Todd played football in high school,4186,Steven,,control,control,0.73,13,M
1,Is Dennis surprised that Hannah called her parents?,10.737016666666667,Hannah called her parents,4054,Christopher,,stim,surprised,0.78,14,M
1,Did Melissa fantasize that Danny ate the last cupcake?,10.737016666666667,Danny ate the last cupcake,3090,Nancy,,stim,fantasize,0.29,15,F
1,Did Eli bet that Valerie booked the venue?,10.737016666666667,Valerie booked the venue,3375,Jennifer,,stim,bet,0.34,16,F
1,Did Amy think that Louis went swimming?,10.737016666666667,Louis went swimming,4639,Linda,,stim,think,0.64,17,F
1,Did Andrew pray that Audrey went to a party?,10.737016666666667,Audrey went to a party,10812,Helen,,stim,pray,0.25,18,F
1,Did Francisco gossip that Josie went on vacation to France?,10.737016666666667,Josie went on vacation to France,3923,David,,stim,gossip,0.66,19,M
1,Is Stephanie aggravated that Jackson ran 10 miles?,10.737016666666667,Jackson ran 10 miles,6343,William,,stim,aggravated,0.7,20,M
1,Did Regina anticipate that Tony had a drink last night?,10.737016666666667,Tony had a drink last night,2965,Michelle,,stim,anticipate,0.68,21,F
1,Is Ray tortured that Emilia looked after the kids?,10.737016666666667,Emilia looked after the kids,2640,Thomas,,stim,tortured,0.7,22,M
1,Did Noah compute that Mary planted a tree?,10.737016666666667,Mary planted a tree,6650,Donna,,stim,compute,0.36,23,F
1,Did Amanda shout that Julian cleaned his room?,10.737016666666667,Julian cleaned his room,3155,Robert,,stim,shout,0.28,24,M
1,Did Sharon expose that Jon went out for dinner?,10.737016666666667,Jon went out for dinner,3256,Kimberly,,stim,expose,0.26,25,F
1,Did Brian dictate that Sophia got a tattoo?,10.737016666666667,Sophia got a tattoo,3110,Richard,,stim,dictate,0.64,26,M
1,Did Jerry squeal that Isabella ate a steak on Sunday?,10.737016666666667,Isabella ate a steak on Sunday,2784,Paul,,stim,squeal,0.62,27,M
1,Did Madison have a baby?,10.737016666666667,Madison had a baby,3205,Kenneth,,control,control,0.65,28,M
1,Did Laura envision that Lucas bought new shoes?,10.737016666666667,Lucas bought new shoes,4141,Margaret,,stim,envision,0.68,29,F
