speakerGender,object,workerid,utterance,slide_number_in_experiment,Word,content,speakerName,response,exp,rt,Answer.time_in_minutes
,Barbara,0,bot_check,1,,,,Barbara,,0,6.521116666666667
F,,0,Is Nicole promised that Jason made a cake?,3,promise,Jason made a cake,Elizabeth,0.2,stim,11387,6.521116666666667
M,,0,Is Ben charmed that Sophia got a tattoo?,4,charm,Sophia got a tattoo,Matthew,0.8,stim,8765,6.521116666666667
F,,0,Is Brenda pained that Louis went swimming?,5,pain,Louis went swimming,Karen,0.87,stim,6452,6.521116666666667
F,,0,Is Vanessa good at math?,6,,Vanessa is good at math,Betty,0.16,control,5068,6.521116666666667
M,,0,Is Catherine disgusted that Connor fell from a tree?,7,disgust,Connor fell from a tree,Richard,0.93,stim,7955,6.521116666666667
F,,0,Did Amy tweet that Julian cleaned his room?,8,tweet,Julian cleaned his room,Lisa,0.11,stim,3937,6.521116666666667
F,,0,Is Mary's aunt sick?,9,,Mary's aunt is sick,Sandra,0.25,control,4580,6.521116666666667
M,,0,Is Rebecca embarrassed that Cole celebrated his friend's birthday?,10,embarrass,Cole celebrated his friend's birthday,Mark,0.91,stim,8522,6.521116666666667
F,,0,Did Regina anticipate that Jon went out for dinner?,11,anticipate,Jon went out for dinner,Susan,0.64,stim,7445,6.521116666666667
M,,0,Did Manuel compute that Courtney woke up early yesterday?,12,compute,Courtney woke up early yesterday,Thomas,0.17,stim,26958,6.521116666666667
F,,0,Did Laura weep that Tony had a drink last night?,13,weep,Tony had a drink last night,Margaret,0.87,stim,5390,6.521116666666667
F,,0,Is Patrick excited that Mia drank 2 cocktails last night?,14,excite,Mia drank 2 cocktails last night,Helen,0.81,stim,5042,6.521116666666667
M,,0,Is Zack coming to the meeting tomorrow?,15,,Zack is coming to the meeting tomorrow,George,0.2,control,12140,6.521116666666667
F,,0,Was Hendrick's car expensive?,16,,Hendrick's car was expensive,Dorothy,0.09,control,5744,6.521116666666667
F,,0,Is Francisco fascinated that Josie went on vacation to France?,17,facinate,Josie went on vacation to France,Kimberly,0.93,stim,8804,6.521116666666667
F,,0,Did Anna gossip that Owen shoveled snow last winter?,18,gossip,Owen shoveled snow last winter,Linda,1,stim,5894,6.521116666666667
F,,0,Did Ruth fantasize that Dylan argued with his parents?,19,fantasize,Dylan argued with his parents,Michelle,0.23,stim,7238,6.521116666666667
M,,0,Is Sharon shocked that Danny ate the last cupcake?,20,shock,Danny ate the last cupcake,Logan,0.91,stim,7970,6.521116666666667
M,,0,Did Alan feel that Molly attended a conference last week?,21,feel,Molly attended a conference last week,Paul,0.24,stim,3990,6.521116666666667
F,,0,Is Heather amused that Fred missed the train?,22,amuse,Fred missed the train,Carol,0.98,stim,3917,6.521116666666667
F,,0,Did Andrew testify that Isabella ate a steak on Sunday?,23,testify,Isabella ate a steak on Sunday,Jennifer,0.32,stim,56111,6.521116666666667
F,,0,Did Dennis squeal that Zoe calculated the tip?,24,squeal,Zoe calculated the tip,Nancy,0.33,stim,10182,6.521116666666667
F,,0,Did Colby pray that Hannah called her parents?,25,pray,Hannah called her parents,Donna,0.19,stim,4092,6.521116666666667
M,,0,Is Brian aggravated that Olivia left her job?,26,aggravate,Olivia left her job,Kenneth,0.82,stim,4185,6.521116666666667
M,,0,Did Noah joke that Grace visited her sister?,27,joke,Grace visited her sister,David,0.49,stim,4469,6.521116666666667
M,,0,Did Madison have a baby?,28,,Madison had a baby,Christopher,0.13,control,60978,6.521116666666667
F,,0,Did Jerry argue that Emilia looked after the kids?,29,argue,Emilia looked after the kids,Jessica,0.29,stim,3563,6.521116666666667
F,,0,Did Amanda dictate that Frank got a cat?,30,dictate,Frank got a cat,Sarah,0.34,stim,3794,6.521116666666667
M,,0,Did Todd play football in high school?,31,,Todd played football in high school,Robert,0.07,control,3163,6.521116666666667
M,,0,Did Justin require that Valerie booked the venue?,32,require,Valerie booked the venue,William,0.12,stim,5595,6.521116666666667
M,,0,Did Ray ignore that Emily bought a car yesterday?,33,ignore,Emily bought a car yesterday,James,0.7,stim,6649,6.521116666666667
F,,0,Is Kaitlin insulted that Josh learned to ride a bike yesterday?,34,insult,Josh learned to ride a bike yesterday,Ashley,0.87,stim,33502,6.521116666666667
M,,0,Did Tim bet that Natasha got a promotion?,35,bet,Natasha got a promotion,Steven,0.18,stim,4510,6.521116666666667
,Elizabeth,1,bot_check,1,,,,Elizabeth,,0,9.135916666666667
F,,1,Did Sharon joke that Lucas bought new shoes?,3,joke,Lucas bought new shoes,Susan,0.37,stim,21799,9.135916666666667
M,,1,Is Francisco aggravated that Danielle painted her room?,4,aggravate,Danielle painted her room,Robert,0.9,stim,10540,9.135916666666667
F,,1,Did Jerry retract that Audrey went to a party?,5,retract,Audrey went to a party,Donna,0.94,stim,7528,9.135916666666667
F,,1,Did Andrew fantasize that Emilia looked after the kids?,6,fantasize,Emilia looked after the kids,Lisa,0.78,stim,10631,9.135916666666667
F,,1,Is Ben promised that Hannah called her parents?,7,promise,Hannah called her parents,Helen,0.46,stim,17083,9.135916666666667
F,,1,Did Patrick gossip that Emma studied on Saturday morning?,8,gossip,Emma studied on Saturday morning,Michelle,0.99,stim,11724,9.135916666666667
F,,1,Is Vanessa good at math?,9,,Vanessa is good at math,Sarah,0.02,control,7286,9.135916666666667
F,,1,Did Ruth resent that Tony had a drink last night?,10,resent,Tony had a drink last night,Sandra,0.98,stim,9605,9.135916666666667
M,,1,Did Colby love that Isabella ate a steak on Sunday?,11,love,Isabella ate a steak on Sunday,Christopher,0.98,stim,6301,9.135916666666667
F,,1,Is Zack coming to the meeting tomorrow?,12,,Zack is coming to the meeting tomorrow,Ashley,0.02,control,6851,9.135916666666667
M,,1,Did Amanda argue that Jayden rented a car?,13,argue,Jayden rented a car,David,0.99,stim,8239,9.135916666666667
F,,1,Did Manuel tweet that Olivia left her job?,14,tweet,Olivia left her job,Jennifer,0.99,stim,6363,9.135916666666667
M,,1,Was Hendrick's car expensive?,15,,Hendrick's car was expensive,Logan,0.01,control,6058,9.135916666666667
F,,1,Did Kaitlin require that Allen went to the museum?,16,require,Allen went to the museum,Karen,0.01,stim,13188,9.135916666666667
F,,1,Is Nicole offended that Owen shoveled snow last winter?,17,offend,Owen shoveled snow last winter,Margaret,0.98,stim,7863,9.135916666666667
F,,1,Did Brenda testify that Cole celebrated his friend's birthday?,18,testify,Cole celebrated his friend's birthday,Nancy,0.98,stim,17215,9.135916666666667
M,,1,Is Kevin thrilled that Mia drank 2 cocktails last night?,19,thrill,Mia drank 2 cocktails last night,Kenneth,0.98,stim,8091,9.135916666666667
F,,1,Did Alan ignore that Courtney woke up early yesterday?,20,ignore,Courtney woke up early yesterday,Betty,0.96,stim,6676,9.135916666666667
M,,1,Did Rebecca shout that Charley spilled the wine?,21,shout,Charley spilled the wine,Thomas,0.5,stim,15296,9.135916666666667
M,,1,Did Bobby pray that Josie went on vacation to France?,22,pray,Josie went on vacation to France,James,0,stim,12434,9.135916666666667
M,,1,Is Cynthia tortured that Dylan argued with his parents?,23,torture,Dylan argued with his parents,Richard,0.86,stim,17941,9.135916666666667
M,,1,Is Mary's aunt sick?,24,,Mary's aunt is sick,Matthew,0.02,control,4509,9.135916666666667
M,,1,Did Tim verify that Natasha got a promotion?,25,verify,Natasha got a promotion,Paul,0.98,stim,9615,9.135916666666667
F,,1,Did Scott suppose that Emily bought a car yesterday?,26,suppose,Emily bought a car yesterday,Elizabeth,0.03,stim,8060,9.135916666666667
F,,1,Is Regina surprised that Frank got a cat?,27,surprise,Frank got a cat,Linda,0.99,stim,8015,9.135916666666667
M,,1,Is Noah alarmed that Sophia got a tattoo?,28,alarm,Sophia got a tattoo,Steven,0.99,stim,7687,9.135916666666667
M,,1,Did Dennis cringe that Mary planted a tree?,29,cringe,Mary planted a tree,William,0.98,stim,7297,9.135916666666667
